"t","y","dy","Filter"
"57438.5","0.00510334","0.00124168","BAT"
"57439.5","0.00590592","0.00093841","BAT"
"57440.5","0.003796","0.00157018","BAT"
"57441.5","0.00555361","0.00098952","BAT"
"57442.5","0.0070301","0.00080351","BAT"
"57443.5","0.00828995","0.00072998","BAT"
"57444.5","0.00796956","0.00077917","BAT"
"57445.5","0.00793771","0.00082064","BAT"
"57446.5","0.0066771","0.0012558","BAT"
"57447.5","0.00534093","0.00080023","BAT"
"57448.5","0.00581023","0.00095587","BAT"
"57449.5","0.00673678","0.00118239","BAT"
"57450.5","0.00779152","0.00077362","BAT"
"57451.5","0.00682429","0.00079111","BAT"
"57452.5","0.00579404","0.00079376","BAT"
"57453.5","0.00693189","0.00073862","BAT"
"57454.5","0.00618867","0.00082599","BAT"
"57455.5","0.00636984","0.00074258","BAT"
"57456.5","0.00877006","0.00103465","BAT"
"57457.5","0.00844491","0.00083252","BAT"
"57458.5","0.00900069","0.00082698","BAT"
"57459.5","0.00797308","0.00087978","BAT"
"57460.5","0.00950321","0.00081986","BAT"
"57461.5","0.00878644","0.00109684","BAT"
"57462.5","0.0091468","0.00077743","BAT"
"57463.5","0.00991436","0.00088374","BAT"
"57464.5","0.00917912","0.00091792","BAT"
"57465.5","0.0058564","0.00089268","BAT"
"57466.5","0.00503464","0.00079704","BAT"
"57467.5","0.00526029","0.00094064","BAT"
"57468.5","0.00510132","0.00103486","BAT"
"57469.5","0.0061309","0.0016535","BAT"
"57470.5","0.00591573","0.00109895","BAT"
"57471.5","0.00631892","0.0006621","BAT"
"57472.5","0.00538732","0.00077449","BAT"
"57473.5","0.00617288","0.00073505","BAT"
"57474.5","0.00595607","0.00083698","BAT"
"57475.5","0.00463458","0.0007969","BAT"
"57476.5","0.00552917","0.00083068","BAT"
"57477.5","0.0056665","0.00069595","BAT"
"57478.5","0.00475814","0.00088792","BAT"
"57479.5","0.00602806","0.0009476","BAT"
"57480.5","0.00687112","0.00091543","BAT"
"57481.5","0.00647772","0.00092302","BAT"
"57482.5","0.00841377","0.0009857","BAT"
"57483.5","0.00797536","0.00077656","BAT"
"57484.5","0.00900121","0.00097493","BAT"
"57485.5","0.00812094","0.0008649","BAT"
"57486.5","0.0058972","0.00094402","BAT"
"57487.5","0.0070447","0.00087479","BAT"
"57488.5","0.0078153","0.00113382","BAT"
"57489.5","0.00547077","0.00081505","BAT"
"57490.5","0.00448094","0.00105155","BAT"
"57491.5","0.00505084","0.00073492","BAT"
"57492.5","0.00629044","0.00101285","BAT"
"57493.5","0.00674799","0.00112544","BAT"
"57494.5","0.00605807","0.00085158","BAT"
"57495.5","0.00554298","0.00088745","BAT"
"57496.5","0.00619469","0.00106173","BAT"
"57497.5","0.00619147","0.00103482","BAT"
"57498.5","0.0058198","0.00124994","BAT"
"57499.5","0.00436253","0.00201786","BAT"
"57500.5","0.00619815","0.00114325","BAT"
"57501.5","0.00386853","0.00092067","BAT"
"57502.5","0.00408694","0.00093186","BAT"
"57503.5","0.00431263","0.00094918","BAT"
"57504.5","0.00410364","0.00116117","BAT"
"57505.5","0.00323249","0.00076264","BAT"
"57506.5","0.00623916","0.00100273","BAT"
"57438.04346","0.429668","0.043533","X4"
"57438.36305","0.321536","0.032773","X4"
"57438.49633","0.358009","0.032616","X4"
"57438.69553","0.405464","0.046451","X4"
"57438.89851","0.408131","0.033982","X4"
"57439.03948","0.279821","0.024184","X4"
"57439.36061","0.293131","0.032717","X4"
"57439.56926","0.315611","0.031355","X4"
"57439.70501","0.385932","0.04683","X4"
"57439.89459","0.259127","0.038443","X4"
"57440.0375","0.205995","0.020025","X4"
"57440.42692","0.245828","0.019544","X4"
"57440.56835","0.193742","0.018156","X4"
"57440.76372","0.374991","0.042235","X4"
"57440.9013","0.214793","0.020005","X4"
"57441.03471","0.312894","0.034166","X4"
"57441.42262","0.31809","0.032257","X4"
"57441.56716","0.271157","0.02883","X4"
"57441.76667","0.260233","0.023381","X4"
"57441.89816","0.272573","0.027122","X4"
"57442.03133","0.345465","0.028969","X4"
"57442.41977","0.416932","0.039719","X4"
"57442.55474","0.37764","0.033333","X4"
