"t" "y" "dy"
2 -1.76875293750003 0.5
3 -1.4656931762931 0.5
4 -0.357082114977124 0.5
6 -1.89583950583823 0.5
7 -1.74419517477224 0.5
8 -1.02056043766296 0.5
11 -1.53983367077909 0.5
12 -2.41936441557437 0.5
13 -2.69888053136159 0.5
16 -2.01530636942415 0.5
18 -1.16263262981004 0.5
22 -0.917708074866533 0.5
23 -2.37434186521516 0.5
27 -2.16662059103496 0.5
28 -0.68635706400227 0.5
29 -2.15010553774971 0.5
30 -1.50476120887736 0.5
31 -0.674636258542643 0.5
34 -2.13494245368605 0.5
36 -2.27781286132532 0.5
37 -1.31040521102217 0.5
38 -2.37649794842545 0.5
40 -0.139009367501407 0.5
43 -1.03173902790638 0.5
46 -0.33590171253307 0.5
47 -0.388883311499354 0.5
48 -0.188041981746879 0.5
49 0.326406910860003 0.5
53 0.663046018516797 0.5
54 0.494109935593507 0.5
55 0.304973877761938 0.5
57 1.6458440537862 0.5
58 2.27766926157167 0.5
60 1.0546368631242 0.5
62 1.50065025074069 0.5
63 0.644772290820509 0.5
65 0.906171498128081 0.5
68 1.11565316155295 0.5
71 0.147779733473667 0.5
72 0.544004253035467 0.5
74 -0.52867078440203 0.5
81 -0.493137373652708 0.5
82 -0.304425467036094 0.5
84 0.630046045563413 0.5
95 -0.219053217993152 0.5
97 0.306325313663657 0.5
100 -0.490976116386595 0.5
106 0.491358659229059 0.5
107 1.65950107454095 0.5
108 1.06859278040325 0.5
109 1.90948577540245 0.5
110 2.31316700917734 0.5
112 0.711014001465552 0.5
113 0.0130446088203063 0.5
116 0.452867155295232 0.5
118 -0.4513505938758 0.5
122 0.287762386613158 0.5
126 -0.510812468473362 0.5
127 -1.05483099689412 0.5
130 1.37381550314276 0.5
131 -0.520970395139252 0.5
133 -0.558443919305561 0.5
134 -0.170408135345273 0.5
136 -0.182503432768045 0.5
138 0.0147456839626102 0.5
142 1.07328987191574 0.5
144 0.537839704894575 0.5
145 0.191070220921234 0.5
146 0.752083363047158 0.5
147 1.00421470941995 0.5
148 0.301296023222228 0.5
151 1.06355799327968 0.5
152 1.57983336614084 0.5
156 -0.539320319577775 0.5
157 -0.354401710319395 0.5
159 0.869701076714984 0.5
162 -0.620230449834085 0.5
163 -1.47596813513523 0.5
168 -0.595750986002633 0.5
169 -1.19441891451828 0.5
171 -1.40503806479298 0.5
173 -2.03247027636863 0.5
174 -2.30753991695456 0.5
177 -1.04209475281834 0.5
178 -1.06082604224682 0.5
179 -0.326989861983549 0.5
180 -1.55201297281296 0.5
181 -0.971352469753146 0.5
182 -1.13541179493009 0.5
183 -0.98848541475468 0.5
188 0.416477288061118 0.5
190 0.624754789267796 0.5
193 0.567289834563181 0.5
198 0.828702730132719 0.5
199 1.18748295391859 0.5
205 1.51918313487388 0.5
206 1.90122109722567 0.5
207 2.67003306367797 0.5
208 2.48372192475692 0.5
209 1.47211522043903 0.5
210 2.58050744963034 0.5
211 0.414635954103863 0.5
213 0.669953070058138 0.5
214 1.81819966185652 0.5
